,cash
1152,380.0
1153,360.0
1154,340.0
1155,330.0
1156,310.0
1157,425.0
1158,405.0
1159,395.0
1160,375.0
1161,485.0
1162,500.0
1163,490.0
1164,490.0
1165,480.0
1166,460.0
1167,450.0
1168,450.0
1169,450.0
1170,200.0
1171,180.0
1172,265.0
1173,255.0
1174,255.0
1175,255.0
1176,255.0
1177,235.0
1178,235.0
1179,235.0
1180,235.0
1181,225.0
1182,225.0
1183,215.0
1184,215.0
1185,195.0
1186,195.0
1187,195.0
1188,175.0
1189,165.0
1190,165.0
1191,252.5
1192,232.5
1193,212.5
1194,202.5
1195,182.5
1196,182.5
1197,162.5
1198,162.5
1199,162.5
1200,242.5
1201,242.5
1202,242.5
1203,242.5
1204,262.5
1205,227.5
1206,227.5
1207,227.5
1208,477.5
1209,467.5
1210,467.5
1211,467.5
1212,502.5
1213,492.5
1214,492.5
1215,492.5
1216,552.5
1217,532.5
1218,532.5
1219,532.5
1220,627.5
1221,607.5
1222,607.5
1223,607.5
1224,607.5
1225,597.5
1226,597.5
1227,597.5
1228,597.5
1229,587.5
1230,587.5
1231,567.5
1232,567.5
1233,557.5
1234,557.5
1235,557.5
1236,537.5
1237,537.5
1238,517.5
1239,507.5
1240,497.5
1241,497.5
1242,487.5
1243,467.5
1244,462.5
1245,437.5
1246,437.5
1247,417.5
1248,417.5
1249,397.5
1250,492.5
1251,472.5
1252,472.5
1253,452.5
1254,587.5
1255,567.5
1256,567.5
1257,567.5
1258,567.5
1259,547.5
1260,527.5
1261,527.5
1262,527.5
1263,527.5
1264,507.5
1265,507.5
1266,507.5
1267,487.5
1268,487.5
1269,487.5
1270,552.5
1271,552.5
1272,547.5
1273,562.5
1274,542.5
1275,542.5
1276,542.5
1277,592.5
1278,572.5
1279,572.5
1280,572.5
1281,647.5
1282,627.5
1283,627.5
1284,627.5
1285,200.0
1286,180.0
1287,180.0
1288,160.0
1289,150.0
1290,145.0
1291,130.0
1292,120.0
1293,100.0
1294,210.0
1295,170.0
1296,150.0
1297,140.0
1298,100.0
1299,80.0
1300,60.0
1301,50.0
1302,30.0
1303,20.0
1304,10.0
1305,10.0
1306,145.0
1307,125.0
1308,115.0
1309,115.0
1310,220.0
1311,200.0
1312,190.0
1313,170.0
1314,400.0
1315,415.0
1316,395.0
1317,385.0
1318,365.0
1319,325.0
1320,285.0
1321,310.0
1322,300.0
1323,355.0
1324,340.0
1325,340.0
1326,330.0
1327,330.0
1328,310.0
1329,310.0
1330,290.0
1331,270.0
1332,270.0
1333,250.0
1334,250.0
1335,230.0
1336,210.0
1337,190.0
1338,190.0
1339,170.0
1340,130.0
1341,90.0
1342,100.0
1343,85.0
